informal,formal,point_indexes,label,len_label
"alhamdulillah stlh libur xnumberx hari onbid lgsg dikasih orderan , food lg . thanks xuserx cc","alhamdulillah setelah libur xnumberx hari onbid langsung diberi order , makanan lagi . terima kasih xuserx cc .","[1, 5, 0, 0, 0, 6, 7, 8, 9, 10, 11, 12, 13, 17, 0, 0, 0, 19, 0, 22, 0, 0, 24, 0, 25, 26, 27, 28, 0]","[2, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 3, 3, 2, 3, 5, 3, 3, 5, 3, 2, 2, 2, 4, 2]",29
"selamat sore min . saya mau pesan tiket ka via web , tetapi selalu tertulis "" terjadi kesalahan pada sistem "" mohon solusinya . terima kasih","selamat sore admin . saya mau pesan tiket ka via web tetapi selalu tertulis , "" terjadi kesalahan pada sistem "" mohon solusinya . terima kasih .","[1, 2, 4, 0, 5, 6, 7, 8, 9, 10, 11, 13, 16, 14, 15, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 0]","[2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2]",28
iya kak terimakasih . tapi tadi sudah datang ke galeri indosatnya langsung . sudah normal lagi,iya kak terima kasih . tetapi tadi sudah datang ke galeri indosatnya langsung . sudah normal kembali .,"[1, 2, 4, 0, 6, 0, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 0, 0]","[2, 2, 5, 3, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 2]",19
malam min xuserx xuserx situs kalian error ya . mau order dari siang tadi ga bisa2 .,"malam admin xuserx xuserx , apakah situs kalian error ? mau order dari siang tadi tidak bisa - bisa .","[1, 3, 0, 4, 5, 6, 7, 8, 9, 10, 11, 14, 0, 0, 15, 16, 17, 18, 20, 0, 22, 0, 23, 0]","[2, 4, 3, 2, 2, 2, 2, 2, 5, 2, 2, 4, 3, 3, 2, 2, 2, 2, 4, 3, 5, 3, 2, 2]",24
"min pembelian token pln apa ada kendala , ini blm masuk udah xnumberx jam lebih ?","admin , pembelian token pln apa ada kendala ? ini belum masuk sudah xnumberx jam lebih .","[9, 0, 3, 4, 5, 6, 7, 8, 21, 2, 13, 0, 0, 15, 0, 16, 17, 18, 19, 20, 22, 10, 0]","[4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 3, 4, 3, 2, 2, 2, 2, 2, 4, 2, 2]",23
udah udah sampe mana ya ? masa ke bintara aja ga sampe ? ( tolong follow up,sudah sudah sampai mana ? masa ke bintara saja tidak sampai - sampai ? tolong follow up .,"[4, 0, 0, 0, 6, 0, 7, 8, 9, 13, 0, 0, 0, 15, 0, 16, 17, 18, 0]","[6, 3, 3, 3, 2, 3, 2, 2, 2, 8, 3, 3, 3, 2, 3, 2, 2, 4, 2]",19
"sinyal xnumberx beberapa hari ini kok bapuk banget ya ? ga stabil , lemot . ada apakah ?","sinyal xnumberx g beberapa hari ini kok sangat sampah ? tidak stabil , lambat . ada apakah ?","[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 0, 0, 0, 16, 0, 17, 20, 0, 0, 21, 22, 23, 24, 0]","[2, 2, 2, 2, 2, 4, 2, 2, 2, 5, 3, 3, 3, 3, 4, 3, 2, 4, 3, 3, 2, 2, 2, 2, 2]",25
saldo kepotong tapi uang nggak keluar . ini udah kali kedua saya melakukan penarikan tunai di atm .,"saldo terpotong , tapi uang tidak keluar . ini sudah kali kedua saya melakukan penarikan tunai di atm .","[1, 4, 0, 0, 5, 7, 0, 8, 9, 11, 0, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0]","[2, 5, 3, 3, 2, 4, 3, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",21
gimana cara pengambilan paket datanya min xuserx ? sudah cek my telkomsel dan * xnumberx gak tersediaa .,bagaimana cara pengambilan paket datanya admin xuserx ? sudah cek mytelkomsel dan * xnumberx * tidak tersedia .,"[2, 0, 3, 4, 5, 7, 0, 8, 9, 10, 11, 12, 13, 15, 0, 16, 17, 18, 19, 20, 22, 0, 24, 0, 25, 0]","[4, 3, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 6, 3, 2, 2, 2, 2, 2, 5, 3, 2, 3, 2, 2]",26
bni corporate gangguan kah ? saya coba buka gabisa terus,bni corporate apakah gangguan ? saya coba buka tidak bisa terus .,"[1, 2, 3, 5, 0, 6, 7, 8, 11, 0, 0, 12, 0]","[2, 2, 4, 2, 3, 2, 2, 2, 5, 3, 3, 4, 2]",13
