informal,formal,point_indexes,label,len_label
"alhamdulillah stlh libur xxxnumberxxx hari onbid lgsg dikasih orderan , food lg . thanks xxxuserxxx cc","alhamdulillah setelah libur xxxnumberxxx hari onbid langsung diberi order , makanan lagi . terima kasih xxxuserxxx cc .","[1, 5, 0, 0, 0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 0, 0, 0, 20, 0, 23, 0, 0, 25, 0, 26, 27, 28, 29, 30, 0]","[2, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 3, 3, 2, 3, 5, 3, 3, 5, 3, 2, 2, 2, 2, 4, 2]",31
"selamat sore min . saya mau pesan tiket ka via web , tetapi selalu tertulis "" terjadi kesalahan pada sistem "" mohon solusinya . terima kasih","selamat sore admin . saya mau pesan tiket ka via web tetapi selalu tertulis , "" terjadi kesalahan pada sistem "" mohon solusinya . terima kasih .","[1, 2, 4, 0, 5, 6, 7, 8, 9, 10, 11, 13, 16, 14, 15, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 0]","[2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2]",28
iya kak terimakasih . tapi tadi sudah datang ke galeri indosatnya langsung . sudah normal lagi,iya kak terima kasih . tetapi tadi sudah datang ke galeri indosatnya langsung . sudah normal kembali .,"[1, 2, 4, 0, 6, 0, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 0, 0]","[2, 2, 5, 3, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 2]",19
malam min xxxuserxxx xxxuserxxx situs kalian error ya . mau order dari siang tadi ga bisa2 .,"malam admin xxxuserxxx xxxuserxxx , apakah situs kalian error ? mau order dari siang tadi tidak bisa - bisa .","[1, 3, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 0, 0, 17, 18, 19, 20, 22, 0, 24, 0, 25, 0]","[2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 4, 3, 3, 2, 2, 2, 2, 4, 3, 5, 3, 2, 2]",26
"min pembelian token pln apa ada kendala , ini blm masuk udah xxxnumberxxx jam lebih ?","admin , pembelian token pln apa ada kendala ? ini belum masuk sudah xxxnumberxxx jam lebih .","[9, 0, 3, 4, 5, 6, 7, 8, 22, 2, 13, 0, 0, 15, 0, 16, 17, 18, 19, 20, 21, 23, 10, 0]","[4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 3, 4, 3, 2, 2, 2, 2, 2, 2, 4, 2, 2]",24
udah udah sampe mana ya ? masa ke bintara aja ga sampe ? ( tolong follow up,sudah sudah sampai mana ? masa ke bintara saja tidak sampai - sampai ? tolong follow up .,"[4, 0, 0, 0, 6, 0, 7, 8, 9, 13, 0, 0, 0, 15, 0, 16, 17, 18, 0]","[6, 3, 3, 3, 2, 3, 2, 2, 2, 8, 3, 3, 3, 2, 3, 2, 2, 4, 2]",19
"sinyal xxxnumberxxx beberapa hari ini kok bapuk banget ya ? ga stabil , lemot . ada apakah ?","sinyal xxxnumberxxx g beberapa hari ini kok sangat sampah ? tidak stabil , lambat . ada apakah ?","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 0, 0, 0, 0, 17, 0, 18, 21, 0, 0, 22, 23, 24, 25, 0]","[2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 5, 3, 3, 3, 3, 4, 3, 2, 4, 3, 3, 2, 2, 2, 2, 2]",26
saldo kepotong tapi uang nggak keluar . ini udah kali kedua saya melakukan penarikan tunai di atm .,"saldo terpotong , tapi uang tidak keluar . ini sudah kali kedua saya melakukan penarikan tunai di atm .","[1, 4, 0, 0, 5, 7, 0, 8, 9, 11, 0, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0]","[2, 5, 3, 3, 2, 4, 3, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",21
gimana cara pengambilan paket datanya min xxxuserxxx ? sudah cek my telkomsel dan * xxxnumberxxx gak tersediaa .,bagaimana cara pengambilan paket datanya admin xxxuserxxx ? sudah cek mytelkomsel dan * xxxnumberxxx * tidak tersedia .,"[2, 0, 3, 4, 5, 7, 0, 8, 9, 10, 11, 12, 13, 14, 16, 0, 17, 18, 19, 20, 21, 22, 24, 0, 26, 0, 27, 0]","[4, 3, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 6, 3, 2, 2, 2, 2, 2, 2, 5, 3, 2, 3, 2, 2]",28
bni corporate gangguan kah ? saya coba buka gabisa terus,bni corporate apakah gangguan ? saya coba buka tidak bisa terus .,"[1, 2, 3, 5, 0, 6, 7, 8, 11, 0, 0, 12, 0]","[2, 2, 4, 2, 3, 2, 2, 2, 5, 3, 3, 4, 2]",13
"daripada lapor ke xxxuserxxx xxxuserxxx , mending ke xxxuserxxx . pelayanan super cepat . begitu bukan ? ️","daripada lapor ke xxxuserxxx xxxuserxxx , lebih baik ke xxxuserxxx . pelayanan super cepat . begitu bukan ?","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 0, 0, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",29
ini email bukti transaksi kalo berhasil .,ini email bukti transaksi jika berhasil .,"[1, 2, 3, 4, 6, 0, 7, 8, 0]","[2, 2, 2, 2, 4, 3, 2, 2, 2]",9
"min , kmaren sy naik grab tp kok nda bisa bayar pake saldo gopay","admin , kenapa kemarin saya naik grab tetapi tidak bisa bayar dengan saldo gopay ?","[2, 0, 7, 0, 0, 0, 0, 8, 9, 14, 0, 0, 0, 0, 15, 17, 0, 18, 19, 20, 21, 0]","[4, 3, 6, 3, 3, 3, 3, 2, 2, 5, 3, 3, 3, 3, 2, 4, 3, 2, 2, 2, 4, 2]",22
min kalo pagi kok dapet drivernya jauh2 .,"admin , mengapa kalau pagi dapat pengemudinya jauh - jauh ?","[3, 0, 0, 7, 0, 0, 0, 8, 11, 0, 0, 0]","[7, 3, 3, 5, 3, 3, 3, 2, 6, 3, 3, 2]",12
nagih utang ke temen pas doi keliatan lagi kaya,tagih hutang ke teman saat dia terlihat sedang kaya .,"[2, 0, 4, 0, 12, 0, 0, 0, 0, 0, 0, 0, 13, 0]","[4, 3, 4, 3, 8, 3, 3, 3, 3, 3, 3, 3, 4, 2]",14
min paketan q koq dr kmrn g ad perubahan ya . knp stuck . q pake ons resi xxxnumberxxx,"admin , paketan saya mengapa sejak kemarin tidak ada perubahan ? mengapa stuck ? saya memakai ons resi xxxnumberxxx .","[2, 0, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 18, 22, 29, 0, 0, 23, 24, 25, 26, 27, 28, 19, 0]","[5, 3, 2, 9, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 2, 6, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2]",30
bermeditasi untuk menjadi lebih kuat dan lebih besar . ke negri flexi di planet bernama jenius . xxxuserxxx . hiyahiyahiya,bermeditasi untuk menjadi lebih kuat dan lebih besar . ke negeri flexi di planet bernama jenius . xxxuserxxx . hahaha .,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 0, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 30, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 3, 3, 3, 3, 3, 2]",31
"cust : pak bisa ambil orderan gofood saya ? driver : bisa bu , maaf abis joget . cust : .","pelanggan : pak , bisa ambil orderan go food saya ? driver : bisa bu , maaf abis dansa . pelanggan : .","[2, 0, 3, 17, 16, 6, 7, 8, 11, 0, 0, 12, 13, 14, 4, 5, 18, 15, 19, 22, 0, 0, 24, 0, 25, 26, 0]","[4, 3, 2, 2, 2, 2, 2, 2, 4, 3, 3, 2, 2, 2, 2, 2, 4, 2, 2, 4, 3, 3, 4, 3, 2, 2, 2]",27
"halo admin , ini kenapa saya selalu di telpon oleh cs ? dan disaat jam kerja .","halo admin , ini mengapa saya selalu ditelepon oleh cs dan disaat jam kerja ?","[1, 2, 3, 4, 6, 0, 7, 10, 0, 0, 11, 13, 18, 14, 15, 16, 12, 0, 0]","[2, 2, 2, 2, 4, 3, 2, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2]",19
"selamat sore , sudah sy dm ya min . jadi bagaimana ya ?","selamat sore , sudah saya dm ya , admin . jadi bagaimana ?","[1, 2, 3, 4, 6, 0, 7, 9, 0, 10, 11, 13, 0, 14, 0]","[2, 2, 2, 2, 4, 3, 2, 5, 3, 2, 2, 2, 3, 2, 2]",15
"wkwkwkwkwk pusink , jadi cewe dulu makanya yok","hahaha , pusing . makanya , mari jadi perempuan dulu .","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 0, 0, 20, 14, 0, 0]","[5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 3, 3, 4, 5, 3, 2]",21
"jl politeknik , kec tamalanrea , makassar , sulawesi selatan . jaringan disini bapuk ngk ketulungan , benerin napa ? kuota banyak tapi jaringan kyk asu gini","jl . politeknik , kec . tamalanrea , makassar , sulawesi selatan . jaringan di sini jelek sekali , mengapa tidak diperbaiki ? kuota banyak , namun jaringan sangat jelek seperti ini .","[1, 14, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 2, 23, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 29, 30, 32, 0, 38, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 7, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 2, 2, 5, 3, 8, 3, 3, 3, 3, 3, 2]",39
pernah baca di ig hp nya disetting dulu gitu biar gacor,pernah baca di ig hpnya di - setting dahulu supaya tidak cor .,"[1, 2, 3, 4, 5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 12, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",16
"mohon dicek . kok sering limited access , terhubung tapi tidak ada internet , dan tidak ada pemberitahuan fup harian .",mohon dicek . mengapa sering limited access ? terhubung tapi tidak ada internet dan tidak ada pemberitahuan fup harian .,"[1, 2, 3, 5, 0, 6, 7, 9, 0, 10, 11, 12, 13, 15, 0, 16, 17, 18, 19, 20, 21, 22, 23, 0]","[2, 2, 2, 4, 3, 2, 2, 4, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24
what ’ s happening xxxuserxxx ? grab foodnya gak bisaa,what ’ s happening xxxuserxxx ? grabfood tidak bisa .,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 0, 0, 0, 18, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 3, 3, 3, 4, 3, 2]",19
"min , kode promo ovopayday di app saya kok ga muncul","admin , kode promo ovopayday di app saya mengapa tidak muncul ?","[2, 0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 0, 0, 15, 0]","[4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 3, 4, 2]",16
"xxxuserxxx , min kenapa paket tau di mytelkomsel saya cuma muncul xxxnumberxxx ? ( cuma heavy )","xxxuserxxx , admin kenapa paket tau di mytelkomsel saya cuma muncul xxxnumberxxx ? ( cuma heavy )","[1, 2, 3, 4, 5, 7, 0, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 0]","[2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",29
"selamat siang xxxuserxxx saya ingin menghapus akun gojek saya , mohon bantuannya . terimakasih","selamat siang xxxuserxxx . saya ingin menghapus akun go - jek saya , mohon bantuannya . terima kasih .","[1, 2, 3, 4, 5, 6, 17, 14, 9, 10, 11, 7, 0, 8, 15, 16, 19, 13, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 3, 2, 2, 2, 7, 2, 3, 2]",20
"iye , ga bisa dah diandelin yang model begini he . he .","iya , tidak bisa sudah diandalkan yang model seperti ini hehe .","[3, 0, 0, 5, 0, 9, 0, 0, 0, 10, 13, 0, 0, 16, 0, 0, 0]","[4, 3, 3, 4, 3, 5, 3, 3, 3, 2, 6, 3, 3, 2, 3, 3, 2]",17
